ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE
5000219,F,Y,Y,1,82000.0,Working,Secondary / secondary special,Married,House / apartment,-9125,-730,1,0,0,0,Private service staff
5000220,F,N,N,0,172000.0,Working,Secondary / secondary special,Married,With parents,-9855,-2920,1,1,0,0,Low-skill Laborers
5000221,F,Y,Y,0,93000.0,Commercial associate,Secondary / secondary special,Married,With parents,-19710,-4745,1,0,1,0,Cleaning staff
5000222,M,N,Y,0,393000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18980,-365,1,0,0,0,IT staff
5000223,M,N,Y,0,242000.0,State servant,Secondary / secondary special,Married,House / apartment,-12045,-2190,1,0,0,0,Core staff
5000224,M,N,Y,0,148000.0,Working,Incomplete higher,Married,House / apartment,-18250,-6205,1,0,0,0,HR staff
5000225,M,N,Y,1,223000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-16425,-1825,1,0,1,0,Core staff
5000226,F,N,Y,0,232000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14965,-7300,1,0,1,0,High skill tech staff
5000227,M,Y,Y,0,101000.0,Pensioner,Higher education,Single / not married,House / apartment,-14965,365243,1,0,1,0,
5000228,F,N,Y,0,89000.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-2555,1,0,0,0,Laborers
5000229,F,N,Y,0,139000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14600,-365,1,0,1,0,Cleaning staff
5000230,F,N,N,0,205000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19710,-11680,1,0,0,0,IT staff
5000231,F,Y,Y,0,143000.0,Working,Secondary / secondary special,Married,With parents,-9125,-2555,1,0,0,0,Security staff
5000232,F,Y,N,0,61000.0,Working,Incomplete higher,Civil marriage,House / apartment,-13870,-2190,1,1,1,1,IT staff
5000233,F,Y,N,0,89000.0,Working,Secondary / secondary special,Married,Municipal apartment,-21535,-7665,1,0,0,0,Laborers
5000234,M,N,Y,0,128000.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-22995,-15330,1,0,0,1,HR staff
5000235,F,N,Y,0,128000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-11315,365243,1,0,1,0,
5000236,M,N,N,0,357000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13505,-5110,1,0,0,0,Accountants
5000237,M,N,Y,2,67000.0,Commercial associate,Higher education,Married,House / apartment,-23725,-4380,1,0,0,0,Secretaries
5000238,F,N,Y,0,172000.0,Working,Secondary / secondary special,Married,House / apartment,-15330,-8395,1,0,0,0,Laborers
5000239,M,Y,Y,0,281000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20805,-365,1,0,0,0,Cooking staff
5000240,F,N,N,0,415000.0,Working,Secondary / secondary special,Married,House / apartment,-14600,-4745,1,0,1,0,Core staff
5000241,F,N,Y,0,109000.0,Working,Secondary / secondary special,Married,Municipal apartment,-9490,-2555,1,1,0,0,Realty agents
5000242,F,N,Y,0,170000.0,Working,Secondary / secondary special,Married,House / apartment,-19710,-9855,1,0,1,1,Security staff
5000243,M,N,N,0,177000.0,Working,Higher education,Separated,House / apartment,-12410,-2190,1,0,0,0,High skill tech staff
5000244,M,N,N,1,147000.0,Working,Higher education,Married,House / apartment,-15695,-6205,1,0,0,0,Drivers
5000245,F,N,Y,0,127000.0,Working,Higher education,Married,House / apartment,-14600,-2920,1,0,0,0,Medicine staff
5000246,F,Y,Y,0,166000.0,Working,Higher education,Married,With parents,-12045,-2190,1,0,1,0,Medicine staff
5000247,F,Y,N,0,38000.0,Working,Secondary / secondary special,Separated,House / apartment,-23360,-12775,1,1,0,0,Drivers
5000248,F,N,Y,1,187000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22265,-14600,1,0,1,1,Private service staff
5000249,F,N,Y,0,142000.0,State servant,Higher education,Widow,House / apartment,-18980,-1095,1,0,0,0,Accountants
5000250,M,N,Y,0,119000.0,Pensioner,Higher education,Married,House / apartment,-16790,365243,1,1,1,0,
5000251,M,N,N,0,371000.0,Commercial associate,Higher education,Married,House / apartment,-12410,-4745,1,0,1,0,Low-skill Laborers
5000252,F,Y,Y,0,95000.0,Working,Secondary / secondary special,Married,House / apartment,-20440,-10950,1,1,1,0,Low-skill Laborers
5000253,M,Y,N,0,109000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-10220,365243,1,0,1,0,
5000254,M,N,N,0,361000.0,Pensioner,Higher education,Married,Rented apartment,-21900,365243,1,0,0,0,
5000255,F,N,Y,0,88000.0,Commercial associate,Higher education,Married,With parents,-15330,-8395,1,0,1,1,Realty agents
5000256,F,Y,Y,0,101000.0,Working,Incomplete higher,Single / not married,House / apartment,-15330,-2190,1,0,0,0,Managers
5000257,F,N,Y,0,124000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13140,-4380,1,0,0,0,IT staff
5000258,F,Y,Y,0,203000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17155,365243,1,0,0,0,
5000259,M,N,Y,1,148000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10950,-1825,1,1,0,0,Security staff
5000260,F,Y,N,0,70000.0,Commercial associate,Higher education,Married,House / apartment,-16425,-2555,1,0,0,1,Sales staff
5000261,F,N,Y,0,102000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18615,-1460,1,0,0,0,Private service staff
5000262,M,Y,N,0,98000.0,Working,Secondary / secondary special,Married,House / apartment,-14965,-4015,1,0,0,0,Laborers
5000263,F,N,Y,0,128000.0,Working,Lower secondary,Married,House / apartment,-17155,-4380,1,0,0,1,Cleaning staff
5000264,F,Y,Y,1,165000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13505,-6935,1,0,0,0,IT staff
5000265,F,Y,Y,0,164000.0,Working,Higher education,Married,House / apartment,-19345,-4745,1,0,1,0,Low-skill Laborers
5000266,F,N,Y,0,55000.0,Working,Secondary / secondary special,Married,House / apartment,-18615,-11315,1,1,1,0,Realty agents
5000267,F,N,N,0,227000.0,Working,Higher education,Married,House / apartment,-22630,-9490,1,0,1,0,Medicine staff
5000268,M,N,Y,0,151000.0,Working,Secondary / secondary special,Married,With parents,-16790,-8395,1,0,0,0,Realty agents
5000269,M,Y,Y,0,266000.0,Working,Higher education,Married,House / apartment,-14965,-6935,1,1,0,0,Core staff
5000270,F,N,Y,0,166000.0,Commercial associate,Higher education,Married,House / apartment,-20440,-1095,1,0,1,0,Sales staff
5000271,F,N,Y,0,231000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7665,365243,1,0,1,0,
5000272,F,N,Y,1,168000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8760,-1460,1,0,1,0,Sales staff
5000273,F,Y,Y,0,261000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8760,-365,1,0,0,0,High skill tech staff
5000274,F,N,N,1,173000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16790,-2190,1,0,0,0,Security staff
5000275,F,Y,Y,1,127000.0,Pensioner,Higher education,Married,House / apartment,-8760,365243,1,0,1,0,
5000276,F,Y,N,1,415000.0,Working,Secondary / secondary special,Married,House / apartment,-10585,-1460,1,0,0,0,IT staff
5000277,F,N,Y,0,208000.0,Working,Secondary / secondary special,Married,House / apartment,-18250,-8395,1,0,0,0,IT staff
5000278,F,Y,Y,0,178000.0,Working,Secondary / secondary special,Married,House / apartment,-23725,-2555,1,0,1,1,Waiters/barmen staff
5000279,F,N,Y,1,70000.0,Commercial associate,Higher education,Married,House / apartment,-8760,-1095,1,0,1,1,HR staff
5000280,F,N,Y,0,70000.0,Pensioner,Incomplete higher,Married,House / apartment,-9125,365243,1,0,0,0,
5000281,M,N,Y,0,154000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23725,365243,1,0,0,0,
5000282,M,N,Y,1,143000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15695,-7300,1,1,1,0,Accountants
5000283,M,Y,Y,1,98000.0,Working,Secondary / secondary special,Married,House / apartment,-13140,-5475,1,0,0,0,Laborers
5000284,F,Y,Y,0,143000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15330,-7665,1,0,1,0,Realty agents
5000285,M,N,Y,0,295000.0,Working,Secondary / secondary special,Married,House / apartment,-20805,-5475,1,0,1,0,Drivers
5000286,F,Y,N,0,189000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10220,-730,1,1,1,0,Laborers
5000287,F,N,Y,1,75000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19345,-5840,1,0,1,0,Realty agents
5000288,M,Y,Y,2,126000.0,Working,Secondary / secondary special,Separated,With parents,-21170,-2920,1,0,0,0,Security staff
5000289,F,Y,Y,0,89000.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-12410,1,1,0,0,Private service staff
5000290,M,N,Y,0,110000.0,State servant,Secondary / secondary special,Married,House / apartment,-13140,-2190,1,1,0,0,Core staff
5000291,M,Y,Y,1,108000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9125,-365,1,0,0,1,HR staff
5000292,F,N,Y,0,105000.0,Pensioner,Higher education,Married,House / apartment,-13140,365243,1,0,0,0,
5000293,M,N,Y,0,71000.0,Commercial associate,Higher education,Married,House / apartment,-9855,-730,1,0,0,0,Secretaries
5000294,M,N,Y,2,125000.0,Working,Secondary / secondary special,Married,House / apartment,-7665,-1095,1,1,1,1,Low-skill Laborers
5000295,F,Y,Y,0,101000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10585,-1825,1,0,0,0,IT staff
5000296,F,Y,Y,0,31000.0,Working,Higher education,Married,House / apartment,-13870,-5840,1,1,0,0,Waiters/barmen staff
5000297,M,Y,Y,0,372000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-23725,-5110,1,0,0,0,IT staff
5000298,F,N,Y,0,230000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8395,0,1,0,0,0,Core staff
5000299,M,N,Y,1,110000.0,State servant,Secondary / secondary special,Married,With parents,-16060,-365,1,0,0,0,Core staff
5000300,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-2555,1,0,0,0,Sales staff
5000301,F,N,Y,3,74000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10950,-1825,1,0,0,1,Drivers
5000302,F,Y,Y,0,311000.0,State servant,Secondary / secondary special,Married,House / apartment,-10585,-2920,1,0,1,0,HR staff
5000303,F,N,Y,0,344000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12045,-365,1,0,1,0,Secretaries
5000304,F,N,N,0,144000.0,Commercial associate,Secondary / secondary special,Separated,With parents,-20075,-2920,1,0,1,0,Private service staff
5000305,F,N,Y,0,222000.0,Commercial associate,Secondary / secondary special,Married,With parents,-15695,-2920,1,0,0,0,Cooking staff
5000306,F,N,Y,0,145000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-13505,365243,1,0,0,0,
5000307,M,N,Y,0,68000.0,State servant,Secondary / secondary special,Married,House / apartment,-9855,-1825,1,0,0,0,Waiters/barmen staff
5000308,F,Y,Y,0,108000.0,State servant,Secondary / secondary special,Married,House / apartment,-13140,-5110,1,0,0,0,HR staff
5000309,M,N,Y,0,142000.0,Working,Secondary / secondary special,Married,House / apartment,-21900,-5110,1,0,0,0,Cleaning staff
5000310,F,Y,Y,1,106000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20440,365243,1,1,0,0,
5000311,M,N,N,0,119000.0,Commercial associate,Higher education,Single / not married,House / apartment,-14600,-6205,1,0,1,0,High skill tech staff
5000312,M,N,Y,1,127000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16060,-2190,1,0,0,0,Security staff
5000313,F,N,N,0,128000.0,Working,Secondary / secondary special,Married,House / apartment,-9125,-365,1,0,0,0,Medicine staff
5000314,F,N,N,0,137000.0,Commercial associate,Higher education,Married,House / apartment,-23725,-3650,1,0,0,0,HR staff
5000315,F,N,Y,0,78000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-9490,-2555,1,0,0,0,Sales staff
5000316,F,N,Y,0,93000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-17520,365243,1,1,1,0,
5000317,M,N,Y,0,70000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9125,-1825,1,1,0,0,Core staff
5000318,M,Y,Y,1,217000.0,Working,Higher education,Married,House / apartment,-21535,-14235,1,0,0,0,HR staff
5000319,M,Y,Y,1,46000.0,Working,Higher education,Married,House / apartment,-21170,-365,1,0,0,0,Cooking staff
5000320,F,Y,N,0,237000.0,Pensioner,Higher education,Married,House / apartment,-8030,365243,1,1,0,0,
5000321,F,Y,N,0,267000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22995,-13870,1,0,0,1,HR staff
5000322,F,N,Y,1,115000.0,Working,Secondary / secondary special,Married,House / apartment,-21535,-3285,1,0,1,0,Managers
5000323,M,Y,Y,0,36000.0,Working,Secondary / secondary special,Married,House / apartment,-14965,-4015,1,0,1,0,Security staff
5000324,F,N,N,1,111000.0,Working,Secondary / secondary special,Married,House / apartment,-21900,-5840,1,0,1,0,Low-skill Laborers
5000325,F,Y,N,1,129000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20805,-2190,1,1,0,0,IT staff
5000326,F,Y,N,1,80000.0,State servant,Secondary / secondary special,Married,House / apartment,-13870,-2555,1,0,0,0,Secretaries
5000327,F,N,Y,0,103000.0,Commercial associate,Higher education,Married,House / apartment,-11680,-2190,1,0,0,0,Managers
5000328,F,N,Y,0,286000.0,Working,Secondary / secondary special,Married,House / apartment,-13505,-1095,1,0,1,0,Cooking staff
5000329,M,N,Y,0,186000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20805,-12410,1,1,1,0,Managers
5000330,M,N,Y,0,84000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21170,-12775,1,0,1,0,HR staff
5000331,F,N,Y,1,60000.0,State servant,Higher education,Civil marriage,With parents,-12775,-2920,1,0,0,0,Secretaries
5000332,M,Y,Y,0,113000.0,Working,Higher education,Married,House / apartment,-9855,-365,1,0,0,0,Core staff
5000333,M,N,Y,0,120000.0,Working,Secondary / secondary special,Widow,House / apartment,-12410,-5475,1,0,0,0,Waiters/barmen staff
5000334,M,N,Y,1,171000.0,Working,Secondary / secondary special,Married,House / apartment,-7665,0,1,0,0,0,Sales staff
5000335,M,N,Y,1,102000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21170,-12775,1,0,0,0,Managers
5000336,F,Y,Y,2,172000.0,Commercial associate,Higher education,Widow,House / apartment,-8395,-365,1,0,0,1,Laborers
5000337,F,N,Y,1,351000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20805,-2555,1,0,1,0,Cooking staff
5000338,F,Y,Y,0,200000.0,Working,Secondary / secondary special,Married,House / apartment,-23360,-7300,1,1,0,0,Realty agents
5000339,M,Y,Y,0,130000.0,Working,Secondary / secondary special,Married,House / apartment,-18615,-7300,1,0,0,0,Waiters/barmen staff
5000340,F,Y,N,1,122000.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-9490,1,0,0,1,Realty agents
5000341,F,N,Y,0,111000.0,Commercial associate,Higher education,Separated,House / apartment,-12045,-730,1,0,0,0,Laborers
5000342,M,N,Y,0,240000.0,Working,Secondary / secondary special,Married,House / apartment,-13870,-6570,1,0,1,0,Security staff
5000343,F,N,Y,0,97000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13505,-6205,1,0,0,0,HR staff
5000344,M,N,N,0,136000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13505,365243,1,1,0,0,
5000345,F,N,Y,1,137000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11315,365243,1,1,1,0,
5000346,F,Y,Y,0,104000.0,Working,Higher education,Married,House / apartment,-14600,-6570,1,0,0,0,Sales staff
5000347,M,N,Y,0,67000.0,Working,Secondary / secondary special,Married,House / apartment,-10950,-3650,1,0,0,0,Private service staff
5000348,M,N,Y,0,157000.0,Working,Higher education,Married,House / apartment,-17885,-730,1,0,1,0,Sales staff
5000349,F,Y,Y,0,129000.0,Commercial associate,Higher education,Married,With parents,-19710,-1460,1,0,1,0,Secretaries
5000350,F,N,Y,0,171000.0,Pensioner,Secondary / secondary special,Separated,Office apartment,-13505,365243,1,0,0,0,
5000351,F,N,N,0,102000.0,Working,Secondary / secondary special,Married,House / apartment,-22630,-14600,1,0,0,0,Realty agents
5000352,F,N,Y,2,245000.0,Working,Secondary / secondary special,Married,House / apartment,-12045,-2555,1,1,0,0,IT staff
5000353,M,N,N,0,86000.0,Pensioner,Higher education,Married,Rented apartment,-23360,365243,1,0,1,0,
5000354,M,N,N,0,314000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-21535,365243,1,0,0,0,
5000355,F,N,Y,0,56000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17155,-3650,1,1,1,0,Accountants
5000356,M,N,N,0,166000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-16790,-5475,1,0,1,0,Accountants
5000357,F,N,Y,0,169000.0,Working,Higher education,Married,House / apartment,-17520,-2190,1,0,1,1,Drivers
5000358,F,Y,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,Office apartment,-12045,-5110,1,0,0,0,Medicine staff
5000359,F,N,Y,0,165000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11680,365243,1,0,0,0,
5000360,M,N,Y,1,253000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23360,365243,1,1,0,0,
5000361,F,Y,Y,0,44000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-17520,-8395,1,1,1,0,HR staff
5000362,F,N,Y,0,171000.0,Working,Higher education,Married,House / apartment,-8030,-1460,1,1,0,0,HR staff
5000363,F,N,Y,0,38000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20805,365243,1,1,0,0,
5000364,F,N,Y,2,82000.0,Working,Higher education,Civil marriage,House / apartment,-19710,-7300,1,0,0,0,Secretaries
5000365,M,Y,Y,0,301000.0,Working,Secondary / secondary special,Married,House / apartment,-15695,-6935,1,1,0,0,Accountants
5000366,F,N,Y,0,100000.0,Working,Secondary / secondary special,Separated,House / apartment,-23725,-8030,1,1,0,0,Drivers
5000367,F,N,Y,0,74000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17885,-5840,1,0,0,0,Cleaning staff
5000368,M,Y,Y,0,121000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20075,-13505,1,0,0,0,Security staff
5000369,M,Y,N,0,375000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11315,-2555,1,0,0,0,Cooking staff
5000370,M,N,Y,0,53000.0,Working,Secondary / secondary special,Married,House / apartment,-19345,-2190,1,0,0,0,Laborers
5000371,M,Y,N,0,79000.0,Working,Secondary / secondary special,Widow,House / apartment,-11315,-365,1,0,1,0,Laborers
5000372,M,N,Y,0,282000.0,Working,Secondary / secondary special,Married,House / apartment,-10585,-2190,1,1,1,0,Medicine staff
5000373,F,N,Y,0,337000.0,Working,Secondary / secondary special,Married,House / apartment,-12410,-1825,1,1,0,0,Sales staff
5000374,M,Y,Y,1,127000.0,Commercial associate,Higher education,Married,House / apartment,-10585,-1460,1,0,0,0,Core staff
5000375,M,N,Y,1,72000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21535,365243,1,0,1,0,
5000376,F,N,Y,1,380000.0,Working,Secondary / secondary special,Married,House / apartment,-8395,-1095,1,1,0,0,Managers
5000377,M,N,N,0,296000.0,Working,Secondary / secondary special,Married,House / apartment,-17885,0,1,0,0,0,Cleaning staff
5000378,F,N,Y,0,187000.0,Commercial associate,Higher education,Married,House / apartment,-14235,-6205,1,0,0,1,Drivers
5000379,M,N,N,0,89000.0,Pensioner,Higher education,Married,House / apartment,-20440,365243,1,0,0,0,
5000380,M,Y,N,0,130000.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-5110,1,1,0,0,Security staff
5000381,F,N,N,0,123000.0,Working,Higher education,Married,House / apartment,-9855,-2190,1,1,1,0,Medicine staff
5000382,F,N,N,0,157000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17520,-3285,1,0,1,0,Low-skill Laborers
5000383,F,Y,Y,0,275000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23360,-730,1,0,0,0,Drivers
5000384,F,N,Y,0,207000.0,Working,Higher education,Married,House / apartment,-13870,-1460,1,1,0,0,Private service staff
5000385,F,Y,Y,1,78000.0,Commercial associate,Higher education,Married,House / apartment,-9125,-2555,1,0,0,1,Low-skill Laborers
5000386,M,N,Y,0,265000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15695,-4380,1,0,0,0,Medicine staff
5000387,M,Y,Y,0,156000.0,Commercial associate,Higher education,Married,House / apartment,-15330,-2555,1,0,0,1,Secretaries
5000388,F,N,N,0,188000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16790,-7665,1,0,0,0,Low-skill Laborers
5000389,F,N,Y,0,277000.0,Commercial associate,Higher education,Married,House / apartment,-22630,-10220,1,0,1,0,Laborers
5000390,F,Y,Y,0,76000.0,Working,Secondary / secondary special,Married,House / apartment,-11680,-365,1,0,0,0,High skill tech staff
5000391,F,Y,Y,1,131000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21900,-14600,1,1,1,0,Cleaning staff
5000392,M,Y,Y,1,102000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14235,-5840,1,0,0,0,Low-skill Laborers
5000393,F,N,Y,0,61000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-7665,-730,1,1,0,0,Laborers
5000394,M,Y,N,2,158000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-8395,-365,1,1,0,0,Cleaning staff
5000395,F,N,Y,3,468000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17155,365243,1,0,0,0,
5000396,F,N,Y,1,53000.0,State servant,Secondary / secondary special,Married,House / apartment,-13870,-4380,1,0,1,0,Cleaning staff
5000397,F,Y,Y,1,131000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18250,0,1,0,0,1,Medicine staff
5000398,F,N,Y,0,184000.0,Working,Secondary / secondary special,Married,House / apartment,-8030,-1095,1,0,0,0,Sales staff
5000399,F,N,Y,0,142000.0,Working,Secondary / secondary special,Married,House / apartment,-9125,-1095,1,0,0,0,Private service staff
5000400,M,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-17885,365243,1,0,0,0,
5000401,F,Y,Y,0,70000.0,Commercial associate,Higher education,Married,House / apartment,-19345,-7300,1,0,0,0,High skill tech staff
5000402,F,Y,Y,3,150000.0,Commercial associate,Higher education,Married,House / apartment,-22630,-13140,1,0,0,0,Medicine staff
5000403,F,N,Y,0,91000.0,Pensioner,Higher education,Married,House / apartment,-14600,365243,1,1,1,0,
5000404,M,N,Y,1,45000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18250,-2555,1,0,1,0,Drivers
5000405,F,N,Y,1,242000.0,Pensioner,Higher education,Single / not married,House / apartment,-22630,365243,1,0,0,0,
5000406,M,N,Y,1,215000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9125,-730,1,0,0,0,Security staff
5000407,M,N,Y,3,137000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14965,-5110,1,1,0,0,HR staff
5000408,F,N,N,0,149000.0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,-12775,365243,1,0,0,0,
5000409,M,N,Y,0,228000.0,Working,Higher education,Married,House / apartment,-14600,-730,1,0,1,0,Private service staff
5000410,M,Y,Y,0,149000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10220,-1825,1,0,1,0,Realty agents
5000411,F,Y,Y,0,209000.0,Working,Secondary / secondary special,Married,House / apartment,-18615,-6570,1,0,0,1,High skill tech staff
5000412,F,Y,Y,0,115000.0,State servant,Secondary / secondary special,Married,House / apartment,-11680,-4380,1,1,0,1,Cooking staff
5000413,F,Y,Y,0,257000.0,Working,Higher education,Married,House / apartment,-14965,-6205,1,0,1,0,Security staff
5000414,F,N,Y,1,156000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18250,0,1,0,1,0,Waiters/barmen staff
5000415,F,N,N,0,147000.0,Working,Secondary / secondary special,Widow,House / apartment,-17155,-8760,1,0,0,1,Waiters/barmen staff
5000416,M,Y,Y,0,71000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23360,-9490,1,1,0,0,Realty agents
5000417,M,Y,Y,0,154000.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-2190,1,0,0,0,HR staff
5000418,F,N,Y,0,88000.0,Working,Secondary / secondary special,Separated,House / apartment,-19345,-10220,1,1,1,0,Managers
5000419,F,N,Y,0,97000.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-4015,1,0,0,0,Core staff
5000420,F,Y,Y,1,89000.0,Pensioner,Higher education,Married,House / apartment,-16790,365243,1,0,1,0,
5000421,F,N,Y,0,78000.0,Working,Secondary / secondary special,Married,House / apartment,-20440,-12775,1,0,0,0,HR staff
5000422,M,Y,N,1,386000.0,Working,Secondary / secondary special,Married,House / apartment,-21900,-6570,1,0,0,0,Laborers
5000423,F,Y,Y,0,259000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7665,-365,1,0,0,0,Sales staff
5000424,M,N,Y,1,348000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12775,-2920,1,1,1,0,Cleaning staff
5000425,F,N,N,0,72000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7665,365243,1,0,0,0,
5000426,F,Y,Y,0,138000.0,Working,Secondary / secondary special,Married,House / apartment,-11315,-1095,1,1,1,1,HR staff
5000427,F,N,N,0,70000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-8030,-365,1,0,0,0,IT staff
5000428,M,N,Y,1,94000.0,Working,Higher education,Married,House / apartment,-7665,0,1,0,1,0,Secretaries
5000429,M,N,N,0,84000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18615,-9490,1,1,1,0,Cooking staff
5000430,M,N,Y,0,248000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23360,-4380,1,0,0,0,Private service staff
5000431,F,N,N,3,109000.0,Commercial associate,Higher education,Married,House / apartment,-13140,-2920,1,0,1,0,IT staff
5000432,F,N,N,1,227000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15330,-365,1,1,0,0,Drivers
5000433,M,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-22630,-7300,1,0,0,0,Medicine staff
5000434,M,Y,N,1,422000.0,Working,Secondary / secondary special,Married,Rented apartment,-13870,0,1,0,0,1,Sales staff
5000435,F,Y,Y,0,64000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13505,-4015,1,1,1,0,Core staff
5000436,M,Y,Y,0,250000.0,State servant,Higher education,Married,House / apartment,-18250,-2920,1,0,1,0,Medicine staff
5000437,F,N,Y,0,236000.0,Working,Secondary / secondary special,Married,House / apartment,-10950,-365,1,1,0,0,Core staff
5000438,F,Y,Y,2,82000.0,Working,Secondary / secondary special,Widow,With parents,-20075,-10585,1,0,1,0,Laborers
5000439,M,N,Y,2,220000.0,Working,Higher education,Single / not married,House / apartment,-14965,-7665,1,0,0,0,Low-skill Laborers
